"HolderAddress","Quantity","PendingBalanceUpdate"
"0x8cc44a3fe63e844f37cee1c91f7b5bc4ad26639e","8","No"
"0x5df9e050846b1abcb729f7e4ac4a9b3fd81198d2","7","No"
"0xd5187e145a7122d3800f5c30b8efc9a63526f7f0","7","No"
"0x5cad6d306e25554f59f49be150a84f1be3f8bcf3","6","No"
"0x777480ff6351d131e4999c9aaa2c1afabf0be76d","6","No"
"0x9ee5c391e0b114c8a094c71273351623cb6d863f","6","No"
"0xb8f89400bec36a17381a2dd6cd5cab645ca62c91","6","No"
"0x242dcfe9b9a500c859d4a2a78b4f69adcf8818b4","5","No"
"0x2dc1f837c114da8144f7a2dd3644899ec04dce2c","5","No"
"0x91e702786867e27d83a8bb1e449ba49a58907867","5","No"
"0x9e45eee62d86b69e9f660549e9f1929586b6dfd2","5","No"
"0xd7367815fe5d6ff452cf375ecbfd8e31a5462460","5","No"
"0xd88f6e4e70e2951f13de1a1e6dde814c89879abd","5","No"
"0x2a9e4c022d26d3277fdb60f36779142e1d53e03d","4","No"
"0x37c5b029f9c3691b3d47cb024f84e5e257aeb0bb","4","No"
"0x539c5c2fac210160ba8aa0201617d5fb4c8ee4f2","4","No"
"0xd4a9957a595cbe54a4370f8c88c8954601b40dcf","4","No"
"0xd7d6b25be862725e8dbbff27aa8ef082771cb612","4","No"
"0xf156ac9af25077dcd1a91ac36f4b1b7c65625bb6","4","No"
"0x5e699f0140039be57ca8c27ee5b4697aa0769b57","3","No"
"0x5ee21eac7496daf04e4bd9e44e305276e971920f","3","No"
"0x9214b669e835dc875d9e1fcf3a89e89ef15a7d98","3","No"
"0x96ebaaffc2ac8d5d8cd95fd37514c1f821681cb0","3","No"
"0x9bf80173d56b6ae897824a47eeadd20c1140597a","3","No"
"0xa37ef19c80de0e357c7d3f887481667d27fe89e2","3","No"
"0xaf1beb9008827749773a2ea63308ba212e88cd6a","3","No"
"0xb9e291b68e584be657477289389b3a6deed3e34c","3","No"
"0xc5afc3a0f462c5a387393421b6a253204a3be8d2","3","No"
"0xcafd432b7ecafff352d92fcb81c60380d437e99d","3","No"
"0xcb81a76a565ac4870eda5b0e32c5a0d2ec734174","3","No"
"0x2487fc7e019860afbfc7fb16689e421843c777e2","2","No"
"0x25d00604aa38675e550f0dd2ce911eb3ea6e8455","2","No"
"0x28cd26d85b4ac655a489aa3f259f81283bd1a804","2","No"
"0x3f6e473d9457452952026c6a77ea79a469d8bdd3","2","No"
"0x429820aeb1a1e5f6c74f909f51180aa219caf8cf","2","No"
"0x446b893436e0e1f2a9b4b5bcbb4739ecdfff2b75","2","No"
"0x497ccb37e86898a7a5a1f741080b95fef63489bc","2","No"
"0x49c604e07338ce062efe23570e9732727dc55f6f","2","No"
"0x54d6e8f883d1858b4080d10ae2a1c6f0afb5feb3","2","No"
"0x5ba34cf02dbb6d47f674d21657bf2ac95aa5a093","2","No"
"0x6cb9c6af63f827af06d159d00a2ac82b186ac86a","2","No"
"0x765a16ca391a6b9249cfa65bf2d14c38722198e3","2","No"
"0xa11af5ef0116d99d86a93795cf2177888d3f2988","2","No"
"0xa28b77a91085bce33bd7e40e12a3125cce2395ca","2","No"
"0xb3677f6f3d2f529824a021db5d94b61ebbce8563","2","No"
"0xc295763eed507d4a0f8b77241c03dd3354781a15","2","No"
"0xc9b7f062a8fd06ca0af3055a82692d6d55f64232","2","No"
"0xcf017f65819ce8aa3f980d5a55a913238aab725f","2","No"
"0xdd0f92addc02b599441c6b65e72eee267797fb6b","2","No"
"0x04fc1bcef371b27c9126c1bef24c86be0ba0dcd0","1","No"
"0x052d62a6479e3c027afff55385f2ba53ffe8ba58","1","No"
"0x0618c96ea5352b95b5e131e4006ef915193fe710","1","No"
"0x079a9cfd7d22d5771209688da80f1d22b0f19dc9","1","No"
"0x081fef7e32cef4c6c658df7b567126fc53f130ca","1","No"
"0x085c673cf572669e304fcd072f95190289739c7a","1","No"
"0x0c02bf4abbac35422bd14cf2dc72753a21a0878a","1","No"
"0x14e1f88b7908c32144536ec457dc6af8bbe93f16","1","No"
"0x17ec5d5202111f90a316bd33e99b2613954692fc","1","No"
"0x18e69094c577781bcf56012b9f42bfe1ad091310","1","No"
"0x1b129cc4fb46bba1ed099e04a141ca4433257b25","1","No"
"0x1c906b316dad147015551e72d9a918e0fd183b44","1","No"
"0x1e45000e54b2308819ede546fe8bcfa3596a87f1","1","No"
"0x1fc4cfbad154fc3437ff10d52e545903439c8417","1","No"
"0x204c551d0eabf5988b77c246a67c119e0363bb0b","1","No"
"0x221c09362ddc12e3f29ec4ac30b19c9f95fc0b87","1","No"
"0x2520cf93f2e386a73df85541f9b50f711824721d","1","No"
"0x293f89d437e0e076a01d15a6718d6d5d66223193","1","No"
"0x2974acf997f067b466f75b9639fdbe884ecc90dc","1","No"
"0x2c4a35e74377b3618d5789873299a3f811228e8a","1","No"
"0x2d3f2d464ab59d41acfb0d434acabd6d87d9e939","1","No"
"0x2f27ea995e0e6f8de0a4d944ddea3919b2147fd5","1","No"
"0x2f67ebd5bdbc4b7ac137d354fca1b2eeb9fb3d8e","1","No"
"0x301a0c1f7c04d03c082fd6b2adc17d9f8dcc1014","1","No"
"0x34081c0fb0560787e8dd886a7203fda9ce6459d0","1","No"
"0x34f5a5e655a1accbda3c584f83cdc03d97b19983","1","No"
"0x352bf2efae9e465764a818eca3bf2de1359f22d8","1","No"
"0x358bb65ff07c373903ab6f42011c48b3605eb1a2","1","No"
"0x35a78d8055a63fcef256a26c21855c597966791d","1","No"
"0x36a00b5b1fe482c51e726ab8f92b84499053bf7e","1","No"
"0x36f341b88d969fd56e8383a99dd13aae96d9b66b","1","No"
"0x375d790dd7869e8752f39f2107ba7e47732ce2f9","1","No"
"0x3bccbd8274a35932dc70245a7135855089fe8477","1","No"
"0x3bfb3a55c7190ead733cd7b5a7dc80b2d9e9baba","1","No"
